id	src	dest	time	amt
4533628	64333	241807	17:01:05	5
4533834	366	35087	23:07:33	19.14676144
4533946	6257	33162	05:33:40	0.10111371
4534175	200680	62830	22:51:13	0.5
4534202	2119	4924	01:55:22	38.39
4534419	3069	18	14:21:09	27
4534480	35962	195	10:55:03	1
4534482	7043	195	17:01:07	1.07753321
4534483	903884	195	20:07:58	1.94505637
4534832	50075	1967958	19:38:24	0.10669452
4535373	118777	70	17:04:08	5
4535400	46	5911	22:42:32	12.5923
4536269	75435	119412	09:59:32	0.0190681
4537353	4032	17875	13:52:21	0.00060407
